Timestamp,humidity,temperature,sound,pm25,NO2,C2H5OH,VOC,CO
1694792575.477501,30,28,3,0,94,83,129,116
1694792602.4067369,29,28,0,0,70,77,121,113
1694792612.917619,29,28,0,0,66,75,117,113
1694792618.24281,29,28,0,0,70,74,117,113
1694792642.9211562,29,28,0,0,95,77,121,117
1694792726.418314,29,28,0,0,74,74,118,114
1694792904.558648,29,28,0,0,69,71,111,114
1694792924.889246,29,28,1,0,69,69,110,114
1694792975.2763531,29,28,0,0,74,70,111,116
1694792992.543618,29,28,0,0,70,69,110,114
1694792997.458596,29,28,0,0,74,69,110,114
1694793002.703941,29,28,0,0,77,70,111,113
1694793007.825516,30,28,0,0,74,69,110,114
1694793094.055757,29,28,2,0,59,63,101,116
1694793099.018888,29,28,0,0,57,63,101,116
1694793138.619242,30,27,1,0,69,64,102,116
1694793265.0646558,30,27,0,0,79,78,118,117
1694793270.079264,30,28,0,0,75,76,117,117
1694793275.1850991,30,28,0,0,68,74,115,116
1694793319.048706,29,28,2,0,64,67,107,116
1694793373.695175,30,27,1,0,79,71,111,118
1694793378.418265,30,27,1,0,73,70,110,116
1694793405.7956429,30,27,0,0,97,74,114,118
1694793416.48638,30,27,0,0,80,73,113,117
1694793421.728748,30,27,0,0,82,72,113,116
1694793484.719058,29,28,0,0,71,69,109,117
1694793489.5775,29,28,2,0,74,69,109,116
1694793566.482263,29,27,0,0,89,68,108,119
1694793585.735878,30,27,3,0,86,71,111,119
1694793636.8540642,30,28,0,0,83,69,112,119
1694793670.385452,30,28,0,0,85,69,111,120
1694793675.589317,30,28,0,0,81,69,111,119
1694793680.536546,30,28,11,0,74,69,110,118
1694793707.461301,30,27,0,0,85,70,110,120
1694793741.8228312,31,28,0,0,74,69,110,118
1694793762.902415,31,28,0,0,80,69,109,119
1694793768.275262,31,28,0,0,89,69,111,120
1694793826.997296,31,28,0,0,117,76,120,120
1694793858.676061,31,28,5,0,118,80,124,118
1694793869.75596,32,28,1,0,115,82,126,119
1694793874.70573,32,28,3,0,108,82,126,119
1694793917.2536802,32,28,1,0,129,88,134,120
1694793922.084214,32,28,3,0,123,89,134,121
1694793927.135423,32,28,0,0,124,89,134,121
1694793945.515119,31,28,0,0,97,85,130,118
1694793966.120926,31,28,0,0,103,84,129,118
1694793986.12527,31,28,1,0,125,86,132,120
1694794100.201205,31,28,0,0,115,89,134,120
1694794105.0985448,31,28,0,0,106,87,133,119
1694794274.681323,32,28,2,0,96,74,120,121
1694794368.3910558,32,28,0,0,97,78,125,120
1694794401.980937,32,28,4,0,107,83,131,121
1694794495.778921,32,28,8,0,108,84,133,121
1694794505.814338,32,28,7,0,114,85,134,121
1694794544.5223098,32,28,0,0,124,91,141,120
1694794575.242971,33,28,0,0,114,91,142,120
1694794624.020946,33,28,0,0,130,96,148,121
1694794629.006165,33,28,0,0,116,95,145,120
1694794658.904675,32,28,1,0,88,86,136,120
1694794715.22611,32,28,2,0,102,82,130,124
1694794755.001594,32,28,0,0,90,81,129,121
1694794759.975347,33,28,0,0,86,81,129,120
1694794827.544274,33,28,1,0,112,84,132,122
1694794832.5784352,33,28,2,0,120,86,134,123
1694794837.6116962,33,28,4,0,109,86,134,122
1694794842.6142411,33,28,0,0,103,85,132,122
1694794912.626884,33,28,0,0,90,81,129,122
1694794917.534663,33,28,0,0,87,81,128,121
1694794930.0676422,33,28,1,0,80,79,126,121
1694794955.225773,33,28,0,0,81,76,122,121
1694795038.476904,33,28,0,0,99,81,128,146
1694795063.378319,33,28,0,0,86,81,127,131
1694795083.534156,33,27,0,0,98,81,127,127
1694795093.567515,33,27,0,0,86,80,126,127
1694795200.8870752,34,27,0,0,90,71,115,123
1694795206.20871,34,27,0,0,94,73,116,122
1694795221.0520651,34,27,0,0,105,75,120,123
1694795254.055323,34,27,0,0,76,73,118,121
1694795269.451891,34,27,0,0,83,72,115,120
1694795294.890455,34,27,0,0,76,72,116,120
1694795391.657175,35,27,0,0,74,73,117,119
1694795479.54814,34,27,0,0,62,61,100,123
1694795494.718666,36,27,0,0,57,61,100,122
1694795550.172628,36,26,1,0,58,61,99,122
1694795554.9871511,36,26,0,0,58,61,99,121
1694795565.227642,36,26,0,0,51,60,97,120
1694795591.5433888,36,26,11,0,64,60,98,122
1694795601.47773,36,26,9,0,70,61,99,123
1694795627.996515,37,26,0,0,83,63,102,125
1694795632.812193,37,26,0,0,74,63,102,123
1694795637.826899,37,26,11,0,73,64,102,123
1694795642.845388,37,26,1,0,71,64,103,122
1694795652.9827552,37,26,0,0,63,62,101,120
1694795658.001854,37,26,0,0,69,63,102,120
1694795667.952402,36,26,7,0,72,64,102,121
1694795700.152885,36,26,5,0,69,63,102,119
1694795814.16274,36,27,0,0,92,69,109,124
1694795895.772591,35,27,0,0,65,63,102,126
1694796031.2496371,35,26,0,0,76,58,96,121
1694796099.658408,35,26,0,0,67,61,98,119
1694796157.525528,35,27,0,0,67,60,98,119
1694796162.6784809,35,27,0,0,60,60,97,119
1694796189.629955,35,27,0,0,101,64,103,123
1694796194.743416,35,27,0,0,77,63,102,121
1694796205.7585862,35,27,0,0,65,61,100,119
1694796210.7145011,35,27,0,0,62,61,100,118
1694796215.727655,35,27,0,0,61,61,99,118
1694796220.735774,35,27,13,0,63,61,99,118
1694796262.674795,34,27,0,0,63,61,99,119
1694796307.048942,34,27,1,0,71,63,101,120
1694796338.7583702,34,27,3,0,56,59,98,119
1694796343.980745,34,27,0,0,56,60,98,117
1694796368.966517,34,27,0,0,58,58,96,118
1694796379.412516,34,27,0,0,68,59,97,119
1694796491.963249,35,27,0,0,101,64,103,128
1694796511.82614,35,27,1,0,86,65,104,124
1694796516.94582,35,27,0,0,82,65,104,122
1694796527.07285,35,27,2,0,80,65,104,120
1694796532.090682,35,27,0,0,87,66,105,122
1694796542.740407,35,27,0,0,87,65,105,120
1694796580.730871,35,27,0,0,69,66,106,119
1694796599.147918,35,27,0,0,60,64,102,118
1694796603.9758348,35,27,5,0,69,64,103,120
1694796609.403425,35,27,0,0,68,63,103,120
1694796634.1357272,35,27,0,0,57,61,100,120
1694796659.615426,35,27,0,0,63,61,99,121
1694796909.43654,35,27,14,0,68,61,99,120
1694796914.453742,35,27,0,0,65,61,98,120
1694796939.4630358,36,27,10,0,67,60,98,120
1694796991.799454,36,27,1,0,74,66,105,120
1694796996.929479,36,27,0,0,70,65,105,120
1694797050.091051,36,27,0,0,63,63,101,120
1694797055.060033,36,27,0,0,63,62,100,120
1694797091.548921,35,27,0,0,77,62,99,121
1694797096.863735,35,27,4,0,70,61,100,122
1694797134.908198,35,27,0,0,68,63,102,122
1694797139.706499,35,27,16,0,71,63,101,122
1694797179.1997492,35,27,0,0,60,61,99,121
1694797184.7361338,35,27,0,0,60,61,99,121
